"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"gamma-tocopherol/beta-tocopherol","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-oleoyl-GPC (O-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)","NA","NA","NA","NA","NA","NA","NA","0"
"behenoyl dihydrosphingomyelin (d18:0/22:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:0/18:0, d19:0/17:0)","NA","NA","NA","NA","NA","NA","NA","0"
"N-palmitoyl-sphinganine (d18:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-oleoyl-GPC (17:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-linoleoyl-GPC (17:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"myristoyl dihydrosphingomyelin (d18:0/14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-oleoyl-GPI (16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-2-docosahexaenoyl-GPC (18:2/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-linoleoyl-GPC (14:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-adrenoyl-GPC (16:0/22:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-adrenoyl-GPC (18:0/22:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearyl-GPC (O-18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-dihomo-linolenoyl-GPC (18:1/20:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-oleoyl-GPI (18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPG (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"thioproline","Thioproline",NA,"93176",NA,NA,NA,NA,"1"
"palmitoylcholine","Palmitoylcholine","HMDB0240592","151731","133677",NA,NA,"CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C","1"
"glycochenodeoxycholate glucuronide (1)","NA","NA","NA","NA","NA","NA","NA","0"
"(S)-3-hydroxybutyrylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"oleoylcholine","Oleoylcholine","HMDB0240596","59040790","133693",NA,NA,"CCCCCCCC\C=C/CCCCCCCC(=O)OCC[N+](C)(C)C","1"
"arachidonoylcholine","Arachidonoylcholine","HMDB0240583","122198216","133694",NA,NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OCC[N+](C)(C)C","1"
"docosahexaenoylcholine","Docosahexaenoylcholine","HMDB0240647","9823108",NA,NA,NA,"CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC[N+](C)(C)C","1"
"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylcholine (18:0/20:2, 20:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-GPE (P-18:0/20:3)","NA","NA","NA","NA","NA","NA","NA","0"
"hexadecadienoate (16:2n6)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoleoylcarnitine (C16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"4-hydroxyphenylacetylglutamine","4-Hydroxyphenylacetylglutamine","HMDB0006061","61152160","28036","C05595",NA,"OC(=O)CC[C@H](NC(=O)CC1=CC=C(O)C=C1)C(O)=O","1"
"2,3-dihydroxy-2-methylbutyrate","NA","NA","NA","NA","NA","NA","NA","0"
"2'-O-methylcytidine","2'-O-Methylcytidine",NA,"150971",NA,NA,NA,NA,"1"
"2'-O-methyluridine","2'-O-Methyluridine",NA,"102212",NA,NA,NA,NA,"1"
"gamma-glutamyl-alpha-lysine","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-oleoyl-glycerol (16:0/18:1) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-oleoyl-glycerol (18:1/18:1)  [1]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-oleoyl-glycerol (18:1/18:1) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"perfluorooctanesulfonate (PFOS)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-stearoyl-GPC (O-16:0/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-adrenoyl-GPE (18:0/22:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-docosapentaenoyl-GPE (P-18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)","NA","NA","NA","NA","NA","NA","NA","0"
"glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylethanolamine (P-18:1/20:4, P-16:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-(hydroxylinoleoyl)-GPC (16:0/18:2(OH))","NA","NA","NA","NA","NA","NA","NA","0"
"ceramide (d18:1/14:0, d16:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"ceramide (d18:1/17:0, d17:1/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"ceramide (d18:2/24:1, d18:1/24:2)","NA","NA","NA","NA","NA","NA","NA","0"
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)","NA","NA","NA","NA","NA","NA","NA","0"
"stearoylcholine","Stearoylcholine","HMDB0240648","90111",NA,NA,NA,"CCCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C","1"
"linoleoylcholine","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:0/20:0, d16:0/22:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/19:0, d19:1/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/24:2)","SM(d18:2(4E,14Z)/24:2(5Z,9Z))","HMDB0240644",NA,NA,NA,NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCC\C=C/CC\C=C/CCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC","1"
"sphingomyelin (d18:2/21:0, d16:2/23:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/23:1)","SM(d18:2(4E,14Z)/23:1(9Z))","HMDB0240668",NA,NA,NA,NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCC\C=C/CCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC","1"
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d17:2/16:0, d18:2/15:0)","NA","NA","NA","NA","NA","NA","NA","0"
"linolenoylcarnitine (C18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"behenoylcarnitine (C22)","NA","NA","NA","NA","NA","NA","NA","0"
"arachidoylcarnitine (C20)","NA","NA","NA","NA","NA","NA","NA","0"
"lignoceroylcarnitine (C24)","NA","NA","NA","NA","NA","NA","NA","0"
"cerotoylcarnitine (C26)","NA","NA","NA","NA","NA","NA","NA","0"
"ximenoylcarnitine (C26:1)","NA","NA","NA","NA","NA","NA","NA","0"
"arachidonoylcarnitine (C20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"eicosenoylcarnitine (C20:1)","NA","NA","NA","NA","NA","NA","NA","0"
"dihomo-linoleoylcarnitine (C20:2)","NA","NA","NA","NA","NA","NA","NA","0"
"dihomo-linolenoylcarnitine (C20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"nervonoylcarnitine (C24:1)","NA","NA","NA","NA","NA","NA","NA","0"
"N,N,N-trimethyl-5-aminovalerate","NA","NA","NA","NA","NA","NA","NA","0"
"carotene diol (1)","NA","NA","NA","NA","NA","NA","NA","0"
"carotene diol (2)","NA","NA","NA","NA","NA","NA","NA","0"
"carotene diol (3)","NA","NA","NA","NA","NA","NA","NA","0"
"cortolone glucuronide (1)","NA","NA","NA","NA","NA","NA","NA","0"
"(N(1) + N(8))-acetylspermidine","NA","NA","NA","NA","NA","NA","NA","0"
"5-dodecenoylcarnitine (C12:1)","NA","NA","NA","NA","NA","NA","NA","0"
"hydroxy-CMPF","NA","NA","NA","NA","NA","NA","NA","0"
"dodecenedioate (C12:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"hexadecenedioate (C16:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"octadecenedioate (C18:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"octadecadienedioate (C18:2-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)*","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetyl-2-aminooctanoate","NA","NA","NA","NA","NA","NA","NA","0"
"hydroxyasparagine*","NA","NA","NA","NA","NA","NA","NA","0"
"perfluorooctanoate (PFOA)","NA","NA","NA","NA","NA","NA","NA","0"
"glyco-beta-muricholate*","NA","NA","NA","NA","NA","NA","NA","0"
"3-formylindole","1H-Indole-3-carboxaldehyde","HMDB0029737","10256","28238","C08493",NA,"O=CC1=CNC2=C1C=CC=C2","1"
"pyroglutamylleucine","NA","NA","NA","NA","NA","NA","NA","0"
"gamma-glutamylcitrulline","NA","NA","NA","NA","NA","NA","NA","0"
"glycine conjugate of C10H14O2 (1)","NA","NA","NA","NA","NA","NA","NA","0"
"glutamine conjugate of C7H12O2","NA","NA","NA","NA","NA","NA","NA","0"
"glutamine conjugate of C6H10O2 (1)","NA","NA","NA","NA","NA","NA","NA","0"
"glutamine conjugate of C6H10O2 (2)","NA","NA","NA","NA","NA","NA","NA","0"
"tetradecadienoate (14:2)","NA","NA","NA","NA","NA","NA","NA","0"
"3-amino-2-piperidone","3-Amino-2-piperidone","HMDB0000323","5200225","76341",NA,"5312","NC1CCCNC1=O","1"
"N,N-dimethylalanine","NA","NA","NA","NA","NA","NA","NA","0"
"3-indoleglyoxylic acid","NA","NA","NA","NA","NA","NA","NA","0"
"ethyl beta-glucopyranoside","NA","NA","NA","NA","NA","NA","NA","0"
"2-hydroxysebacate","2-Hydroxydecanedioic acid","HMDB0000424","128458","89312",NA,"5413","O=C(O)CCCCCCCC(O)C(=O)O","1"
"ascorbic acid 3-sulfate","Ascorbic acid 3-sulfate","HMDB0240641","11425365",NA,NA,NA,"[H][C@@]1(OC(=O)C(O)=C1OS(O)(=O)=O)[C@@H](O)CO","1"
"6-bromotryptophan","NA","NA","NA","NA","NA","NA","NA","0"
"1-carboxyethylphenylalanine","1-Carboxyethylphenylalanine","HMDB0240628","127261991",NA,NA,NA,"C[C@@H](N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O","1"
"1-carboxyethylvaline","1-Carboxyethylvaline","HMDB0240627",NA,NA,NA,NA,"CC(C)[C@H](N[C@H](C)C(O)=O)C(O)=O","1"
"1-carboxyethylleucine","1-Carboxyethylleucine","HMDB0240626","53752255",NA,NA,NA,"CC(C)C[C@H](N[C@H](C)C(O)=O)C(O)=O","1"
"1-carboxyethylisoleucine","NA","NA","NA","NA","NA","NA","NA","0"
"dodecadienoate (12:2)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetyl-isoputreanine","NA","NA","NA","NA","NA","NA","NA","0"
"glucuronide of piperine metabolite C17H21NO3 (4)","NA","NA","NA","NA","NA","NA","NA","0"
"sulfate of piperine metabolite C16H19NO3 (2)","NA","NA","NA","NA","NA","NA","NA","0"
"2-naphthol sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"4-ethylcatechol sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"11beta-hydroxyandrosterone glucuronide","NA","NA","NA","NA","NA","NA","NA","0"
"N2-acetyl,N6,N6-dimethyllysine","NA","NA","NA","NA","NA","NA","NA","0"
"deoxycholic acid glucuronide","NA","NA","NA","NA","NA","NA","NA","0"
"4-allylcatechol sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"lithocholate sulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"2-ketocaprylate","NA","NA","NA","NA","NA","NA","NA","0"
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)","NA","NA","NA","NA","NA","NA","NA","0"
"hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))*","NA","NA","NA","NA","NA","NA","NA","0"
"tetradecadienedioate (C14:2-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"pregnenetriol disulfate","NA","NA","NA","NA","NA","NA","NA","0"
"eicosenedioate (C20:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"hydroxy-N6,N6,N6-trimethyllysine","NA","NA","NA","NA","NA","NA","NA","0"
"undecenoylcarnitine (C11:1)","NA","NA","NA","NA","NA","NA","NA","0"
"3-decenoylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"3,5-dichloro-2,6-dihydroxybenzoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"(S)-a-amino-omega-caprolactam","NA","NA","NA","NA","NA","NA","NA","0"
"metabolonic lactone sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"branched chain 14:0 dicarboxylic acid*","NA","NA","NA","NA","NA","NA","NA","0"
"1-methyl-5-imidazolelactate","NA","NA","NA","NA","NA","NA","NA","0"
"(2 or 3)-decenoate (10:1n7 or n8)","NA","NA","NA","NA","NA","NA","NA","0"
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)","NA","NA","NA","NA","NA","NA","NA","0"
"3-bromo-5-chloro-2,6-dihydroxybenzoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid","NA","NA","NA","NA","NA","NA","NA","0"
"decadienedioic acid (C10:2-DC)*","NA","NA","NA","NA","NA","NA","NA","0"
"deoxycholic acid 12-sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"cis-3,4-methyleneheptanoate","NA","NA","NA","NA","NA","NA","NA","0"
"cis-3,4-methyleneheptanoylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetyl-2-aminoadipate","NA","NA","NA","NA","NA","NA","NA","0"
"4-chlorobenzoic acid","4-Chlorobenzoate","METPA0283",NA,"17861","C02370",NA,NA,"1"
"2,4-di-tert-butylphenol","2,4-Di-tert-butylphenol","HMDB0013816","7311","89188",NA,NA,"CC(C)(C)C1=CC=C(O)C(=C1)C(C)(C)C","1"
"3-hydroxyoctanoylcarnitine (1)","NA","NA","NA","NA","NA","NA","NA","0"
"cis-3,4-methyleneheptanoylglycine","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C16H18N2O5 (1)*","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C16H18N2O5 (2)*","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C17H18N2O4 (1)*","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C17H18N2O4 (2)*","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C17H18N2O4 (3)*","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C17H20N2O5 (1)*","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin degradation product, C17H20N2O5 (2)*","NA","NA","NA","NA","NA","NA","NA","0"
"tetrahydrocortisol glucuronide","NA","NA","NA","NA","NA","NA","NA","0"
"N,N-dimethyl-pro-pro","NA","NA","NA","NA","NA","NA","NA","0"
"oxindolylalanine","NA","NA","NA","NA","NA","NA","NA","0"
"tetrahydrocortisone glucuronide (5)","NA","NA","NA","NA","NA","NA","NA","0"
